shot,start_s,end_s,duration_s,rep_s,name,composition,paper_media,semantic_nodes,action_chain,audio_subtitle_relation,rep_file,depth_layers,object_groups,palette,transition_audio,minimum_acceptance
S11,45.300,50.767,5.467,50.500,商业数据微缩城市,低机位纸模城市,折纸道路/微缩楼宇/数据卡,11,坐标纸显现→蓝带折成道路→节点/楼群升起→微缩城市长成→数据卡,“讲商业数据→折线道路/柱状图城市”按词组完成形变,reproducible/shot_reps/S11_50.500.jpg,前:数据卡/人物树木｜中:道路/楼群｜后:坐标纸,5,米白/海军蓝/珊瑚红/灰,硬切蓝图；P97.3,5组/≥11节点；折线=道路、柱状=城市两种转换都完成
S12,50.767,55.133,4.366,54.900,产品蓝图爆炸图,蓝图背景轴向爆炸,蓝图纸/分层产品纸板,12,零件沿纵深轴分层拉开→内部件显露→引线/输入处理输出标签,“讲产品→蓝图/爆炸图/输入处理输出”同步拆层,reproducible/shot_reps/S12_54.900.jpg,前:引线/标签｜中:六层产品件｜后:蓝图网格,5,深蓝/牛皮/白线/珊瑚红,硬切人物剪影；P93.9,5组/≥12节点；外壳到内件分层清楚，输入/处理/输出关系可读
S13,55.133,58.967,3.834,58.700,人物故事证据墙,左侧头像+右侧漫画证据墙,剪影/漫画格/照片/红线,13,头像剪影拼成→漫画/照片落位→红针红线连接→时间轴/标题,“人物故事→漫画格证据墙时间线”逐词落位,reproducible/shot_reps/S13_58.700.jpg,前:照片/红线/时间尺｜中:漫画墙/头像｜后:纸底,6,米白/黑白/暗红,撕纸地景擦入；P95.6,6组/≥13节点；头像+漫画格+证据墙+时间线四类齐全
S14,58.967,61.433,2.466,61.200,纸张拼贴纸飞机,正视分层纸景,撕纸云山/折纸飞机,7,山云分层建立→红飞机入场→纸张拼贴标签,字幕继续“同一主题可在纸张拼贴…”；纸拼贴首先出现,reproducible/shot_reps/S14_61.200.jpg,前:飞机/云｜中:山脉层｜后:蓝纸,4,深蓝/米白/珊瑚红,同主体画风匹配切；P96.0,4组/≥7节点；纸纤维/撕边/接触阴影真实，红飞机锚点一致
S15,61.433,62.467,1.034,62.300,粘土定格纸飞机,正视粘土舞台,粘土云山/粘土飞机,6,粘土山体/云/飞机快速成形,同一句枚举“粘土定格”时快速切粘土,reproducible/shot_reps/S15_62.300.jpg,前:飞机/云｜中:粘土山｜后:蓝幕,4,深蓝/米白/陶土红,同主体匹配切；P80.1,4组/≥6节点；粘土材质可辨且主体位置连续
S16,62.467,63.267,0.800,63.170,蓝晒图纸飞机,正视工程蓝图,蓝晒纸/线稿,7,蓝图线框绘制→山脉/飞机/数据框完成,同一句枚举“蓝晒图”时切蓝图,reproducible/shot_reps/S16_63.170.jpg,前:飞机/线框｜中:蓝图山｜后:蓝晒底,4,蓝晒蓝/白线/珊瑚红,同主体匹配切；P99.4,4组/≥7节点；蓝晒线稿可辨，主体位置连续
S17,63.267,64.233,0.966,64.100,水墨卷轴纸飞机,正视水墨卷轴,宣纸水墨/折纸飞机,5,水墨山体晕染→红飞机进入→卷轴标签,同一句枚举“水墨卷轴”时切水墨,reproducible/shot_reps/S17_64.100.jpg,前:红飞机｜中:水墨山｜后:宣纸留白,4,宣纸白/水墨灰/珊瑚红,同主体匹配切；P99.9,4组/≥5节点；水墨晕染与红飞机分离清楚
S18,64.233,65.900,1.667,65.800,极简动态图形纸飞机,正视极简网格,白卡/线条/色块,5,网格/线条生长→山云色块成形→红飞机落位,同一句枚举“极简动态图形”时切极简,reproducible/shot_reps/S18_65.800.jpg,前:红飞机/线条｜中:山云几何｜后:米白网格,4,米白/墨线/灰绿/珊瑚红,硬切五卡规则板；P99.9,4组/≥5节点；极简图形不等于空白，网格/山云/飞机齐全
S19,65.900,71.900,6.000,71.700,五画风一致性规则板,顶视五卡横向谱系,五类参考卡/色票/转场标记,15,参考卡飞入/翻面→五卡对齐→关键词/配色/转场锚点连接→规则标题,“关键词/配色/转场锚点一致→画风不乱”对应五卡关系图,reproducible/shot_reps/S19_71.700.jpg,前:锚点/色票｜中:五风格卡｜后:白纸网格,6,米白/深蓝/灰绿/珊瑚红,硬切机械模型；P91.2,6组/≥15节点；五画风同主题、同色锚、同转场锚，关系线不乱
S20,71.900,83.533,11.633,83.200,参考图交给视频模型/单动作机,正视机器+屏幕+按钮+胶片,纸板机械/按钮卡/胶片,12,机器就位→参考卡输入→四个单动作按钮依次演示→胶片延展→越单一越稳定,“第三步逐个交给视频模型；一次一个动作：推近/展开/画路线/组装”按钮与字幕逐项同步,reproducible/shot_reps/S20_83.200.jpg,前:按钮/结果牌｜中:机器/屏幕/胶片｜后:纸墙,6,米白/牛皮/黑/红蓝绿按钮,硬切顶视时间轴；P93.6,6组/≥12节点；四按钮各只触发一个动作，输出胶片对应，最终画面可读
S21,83.533,96.867,13.334,96.500,以旁白为时间轴的人工拼装台,顶视多轨时间轴,波形纸带/照片卡/文字卡/图表,19,波形纸带展开→多轨建立→手放短片卡→关键词卡→字幕数字图表补全→总时间轴,“最后以旁白为时间轴→拼短片→补关键词字幕数字图表”跟随手部摆放,reproducible/shot_reps/S21_96.500.jpg,前:手/关键词卡｜中:短片轨道｜后:波形/图表底,7,米白/黑白/珊瑚红/蓝绿图表,硬切总结板；P99.0,7组/≥19节点；波形、短片、关键词、字幕数字图表全进入同一时间轴
S22,96.867,97.600,0.733,97.400,嵌套播放器过渡,中心嵌套屏幕,纸播放器/纸飞机/碎纸,5,空播放器→纸飞机/山体嵌套缩放,“真正好玩的不是复制外观”前的快速嵌套视觉转折,reproducible/shot_reps/S22_97.400.jpg,前:红飞机/碎纸｜中:播放器｜后:纸台,4,米白/蓝/珊瑚红,同画面嵌套匹配切；P85.8,4组/≥5节点；嵌套缩放仍保留飞机/山/播放器三锚
S23,97.600,104.867,7.267,104.500,可替换视觉语言总装板,中心播放器+环形主题模块,主题卡/屏幕/时间轴/红线,20,中心屏就位→历史/商业/产品/人物/画风/时间轴模块围绕→红线连接→视觉语言标题,“搭建可更换题材和表现形式的视觉语言”与总装板一致,reproducible/shot_reps/S23_104.500.jpg,前:标签/红线｜中:中心屏/主题模块｜后:总板,7,米白/深蓝/牛皮/珊瑚红/绿,硬切下一期总板；P99.9,7组/≥20节点；至少6类题材模块围绕同一中心，替换关系明确
S24,104.867,107.000,2.133,106.800,下一期预告总板,正视端到端流程总板,纸板打印机/胶片/参考卡,8,下一期标题→参考卡→打印机→胶片→成片屏幕连成流程,“下一期挑一种玩法”进入预告总板,reproducible/shot_reps/S24_106.800.jpg,前:结果屏/标签｜中:打印机/胶片｜后:左右参考卡,5,米白/深蓝/牛皮/珊瑚红,推进/语义阶段重置至机械机；P53.0,5组/≥8节点；参考→机器→胶片→屏幕路径连续
S25,107.000,108.033,1.033,107.800,参考图进入机械成片机,正视齿轮印制机,齿轮纸机/图像纸/胶片,6,参考图进入齿轮机→纸片/胶片被加工输出,“从参考图到最终成片”触发机械加工,reproducible/shot_reps/S25_107.800.jpg,前:碎纸/输出｜中:齿轮机/输入图｜后:白纸,4,米白/牛皮/深蓝/珊瑚红,机械阶段重置至胶片输出；P75.3,4组/≥6节点；输入图被加工而非无因变画，齿轮/输出方向正确
S26,108.033,110.154,2.121,109.800,胶片输出与最终成片,正视胶片+播放器终态,胶片/纸播放器/纸标签,6,胶片展开→成片屏幕锁定→从参考图到成片/完整做一遍,“完整做一遍”在最终胶片/播放器完成态收束,reproducible/shot_reps/S26_109.800.jpg,前:标题牌/纸片｜中:胶片/播放器｜后:纸台,4,米白/深蓝/珊瑚红/牛皮,结尾停帧,4组/≥6节点；胶片到播放器完成态闭环，结尾标题清晰
